filerid,filername,firstname,middleinitial,lastname,Gender
THOMA  504,THOMAS ACHIYAMMA I,ACHIYAMMA,I,THOMAS,F
MILLA  502,MILLER ALLEN T,ALLEN,T,MILLER,M
BILLA2 203,BILLIG ANDREW S,ANDREW,S,BILLIG,M
CLEVA  660,CLEVELAND ANNETTE M,ANNETTE,M,CLEVELAND,F
FROEA  390,FROEHLING ANTONI H,ANTONI,H,FROEHLING,M
WALKA  273,AXTHELM APRIL L,APRIL,L,AXTHELM,F
LAWVB  411,LAWVER BENJAMIN,BENJAMIN,,LAWVER,M
OAKLB  210,OAKLEY BENJAMIN T,BENJAMIN,T,OAKLEY,M
OBRIB  373,O'BRIEN BILLIE J,BILLIE,J,O'BRIEN,M
VIRKB  058,VIRK BOBBY S,BOBBY,S,VIRK,M
WILLB  501,WILLIAMS BRENDAN W,BRENDAN,W,WILLIAMS,M
WILLB2 501,WILLIAMS BRENDAN W,BRENDAN,W,WILLIAMS,M
PHILB  111,PHILLIPS BRETT,BRETT,,PHILLIPS,M
HILYB  177,HILYER BRUCE W,BRUCE,W,HILYER,M
SIZEB  042,SIZEMORE BUD E,BUD,E,SIZEMORE,M
CONDC  807,CONDOTTA CARY L,CARY,L,CONDOTTA,M
WOLFC  501,WOLFE CATHY M,CATHY,M,WOLFE,F
HUGHC  245,HUGHES CHARLES (RICK) R II,CHARLES (RICK),R,HUGHES,M
REYKC  512,REYKDAL CHRIS P,CHRIS,P,REYKDAL,M
GREGC  507,GREGOIRE CHRISTINE O,CHRISTINE,O,GREGOIRE,F
NASSC  110,ROLFES CHRISTINE N,CHRISTINE,N,ROLFES,F
NASSC2 110,ROLFES CHRISTINE N,CHRISTINE,N,ROLFES,F
RYU C  133,RYU CINDY S,CINDY,S,RYU,F
LADEC2 408,LADENBURG CONNIE J,CONNIE,J,LADENBURG,F
HABIC  004,HABIB CYRUS,CYRUS,,HABIB,M
ROMED  016,ROMEYN DARYL A,DARYL,A,ROMEYN,M
FROCD2 111,FROCKT DAVID S,DAVID,S,FROCKT,M
SAWYD  444,SAWYER DAVID J,DAVID,J,SAWYER,M
FROCD  111,FROCKT DAVID S,DAVID,S,FROCKT,M
RUZUD  101,RUZUMNA DAVID,DAVID,,RUZUMNA,M
MCCRD  011,MCCRAVEY DAWN M,DAWN,M,MCCRAVEY,F
MORRD  374,MORRELL DAWN,DAWN,,MORRELL,F
WEBED  632,WEBER DENNIS P,DENNIS,P,WEBER,M
DELLD  201,DELLWO DENNIS A,DENNIS,A,DELLWO,M
HAMID  528,HAMILTON DENNIS K,DENNIS,K,HAMILTON,M
STAND  041,STANFORD DEREK C,DEREK,C,STANFORD,M
RICHD  366,RICHARDS DOUGLAS R,DOUGLAS,R,RICHARDS,M
HOERD  115,HOERLER DUSTY A,DUSTY,A,HOERLER,M
CODYE  126,CODY EILEEN L,EILEEN,L,CODY,F
WALTE2 290,WALTERS ELEANOR V,ELEANOR,V,WALTERS,F
DASCE  303,DASCH ELIZABETH A,ELIZABETH,A,DASCH,F
PETTE  118,PETTIGREW ERIC,ERIC,,PETTIGREW,M
TEEGE  043,TEEGARDEN ERIC T,ERIC,T,TEEGARDEN,M
CLIFE  113,CLIFTHORNE EVAN H,EVAN,H,CLIFTHORNE,M
CHMEF  926,CHMELEWSKI FRANCES P,FRANCES,P,CHMELEWSKI,F
CHOPF  103,CHOPP FRANK V,FRANK,V,CHOPP,M
TARLG  109,TARLETON GAEL D,GAEL,D,TARLETON,F
ERNSG  040,ERNSDORFF GARY M,GARY,M,ERNSDORFF,M
POLLG  115,POLLET GERALD M,GERALD,M,POLLET,M
NICKG  116,NICKELS GREGORY J,GREGORY,J,NICKELS,M
DUNSH  291,DUNSHEE HANS M,HANS,M,DUNSHEE,M
RAWSH  840,RAWSON HENRY A,HENRY ,A,RAWSON,M
KREJH  108,KREJCI HOLLY,HOLLY,,KREJCI,F
FEY J  422,FEY JACOB C,JACOB,C,FEY,M
MCINJ  115,MCINTIRE JAMES L,JAMES,L,MCINTIRE,M
FLYNJ  055,FLYNN JAMES J,JAMES,J,FLYNN,M
JOHNJ  362,JOHNSON JAMES K,JAMES,K,JOHNSON,M
INSLJ  110,INSLEE JAY R,JAY,R,INSLEE,M
DAVIJS 508,DAVIS JEFFERSON S,JEFFERSON,S,DAVIS,M
MORRJ  273,MORRIS JEFFREY R,JEFFREY,R,MORRIS,M
CLOUJ  336,CLOUGH JERAME V,JERAME,V,CLOUGH,M
FARRJ  102,FARRELL JESSYN,JESSYN,S,FARRELL,F
JOHNJ  277,JOHNSON JILL D,JILL,D,JOHNSON,F
THATJ  053,THATCHER JIM E,JIM,E,THATCHER,M
TANNJ  660,TANNER JOE D,JOE,D,TANNER,M
HUSSJ  053,HUSSEY JOEL R,JOEL,R,HUSSEY,M
URQUJ  109,URQUHART JOHN W,JOHN,W,URQUHART,M
ROSKJ  207,ROSKELLEY JOHN F,JOHN,F,ROSKELLEY,M
LADEJ  408,LADENBURG JOHN W SR,JOHN,W,LADENBURG,M
WAGEJ  498,WAGEMANN JOHN P,JOHN,P,WAGEMANN,M
LADEJ2 408,LADENBURG JOHN W SR,JOHN,W,LADENBURG,M
PIAZJ  274,PIAZZA JOHN J SR,JOHN,J,PIAZZA,M
FITZJ  166,FITZGIBBON JOSEPH C,JOSEPH,C,FITZGIBBON,M
CLIBJ  040,CLIBBORN JUDITH R,JUDITH,R,CLIBBORN,F
ASHAK  359,ASHABRANER KARIN L,KARIN,L,ASHABRANER,F
DREWK  027,DREW KATHLEEN K,KATHLEEN,K,DREW,F
HARPK  368,HARPER KEITH C,KEITH,C,HARPER,M
SCHUK  102,SCHUBERT KEN L,KEN,L,SCHUBERT,M
CAMPK  466,CAMPBELL KENNETH C,KENNETH,C,CAMPBELL,M
RANKK  250,RANKER KEVIN M,KEVIN,M,RANKER,M
VANDK  382,VAN DE WEGE KEVIN W,KEVIN,W,VAN DE WEGE,M
WYMAK  513,WYMAN KIMBERLEY M,KIMBERLEY,M,WYMAN,F
LYTTK  221,LYTTON KRISTINE C,KRISTINE,C,LYTTON,F
SEAQL  335,SEAQUIST LARRY R,LARRY,R,SEAQUIST,M
JINKL  407,JINKINS LAURIE A,LAURIE,A,JINKINS,F
SPRIL  033,SPRINGER LAWRENCE S,LAWRENCE,S,SPRINGER,M
OOSTL  506,OOSTERMAN LINDA L,LINDA,L,OOSTERMAN,F
BROWL  204,BROWN LISA J,LISA,J,BROWN,F
MOSCL  043,MOSCOSO LUIS S,LUIS,S,MOSCOSO,M
MAXWM  056,MAXWELL MARCIE E,MARCIE,E,MAXWELL,F
RICCM  210,RICCELLI MARCUS M,MARCUS,M,RICCELLI,M
BOLDM  606,BOLDT MARCUS J,MARCUS,J,BOLDT,M
PRENM  178,PRENTICE MARGARITA L,MARGARITA,L,PRENTICE,F
JONEM  073,JONES MARIANNE K,MARIANNE,K,JONES,F
MULLM  027,MULLET MARK D,MARK,D,MULLET,M
COREM  584,CORE MARK E,MARK,E,CORE,M
LIIAM  204,LIIAS MARKO S,MARKO,S,LIIAS,M
JUDGM  040,JUDGE MAUREEN A,MAUREEN,A,JUDGE,F
HAASM  368,HAAS MICHAEL E,MICHAEL,E,HAAS,M
OYLEM  209,OYLER MORGAN S,MORGAN,S,OYLER,M
FRAMN  111,FRAME NOEL C,NOEL,C,FRAME,F
MORRP  362,MORRIS PATRICIA J,PATRICIA,J,MORRIS,F
SULLP  042,SULLIVAN PATRICK J,PATRICK,J,SULLIVAN,M
SPENP  648,SPENCER PAUL G,PAUL,G,SPENCER,M
GOLDP  840,GOLDMARK PETER J,PETER,J,GOLDMARK,M
DUNNR  059,DUNN REAGAN B,REAGAN,B,DUNN,M
CARLR  119,CARLYLE REUVEN M,REUVEN,M,CARLYLE,M
SANDR  008,SANDERS RICHARD B,RICHARD,B,SANDERS,M
FERGR  115,FERGUSON ROBERT W,ROBERT,W,FERGUSON,M
MCKER2 006,MCKENNA ROBERT M,ROBERT,M,MCKENNA,M
HOLLR  118,HOLLAND ROBERT E,ROBERT,E,HOLLAND,M
MCKER  006,MCKENNA ROBERT M,ROBERT,M,MCKENNA,M
ZIMMR  272,ZIMMERMAN ROBERT G,ROBERT,G,ZIMMERMAN,M
FLYGR  003,FLYGARE ROGER G,ROGER,G,FLYGARE,M
FREER  023,FREEMAN ROGER D,ROGER,D,FREEMAN,M
GOODR  033,GOODMAN ROGER E,ROGER,E,GOODMAN,M
MCAUR  011,MCAULIFFE ROSEMARY A,ROSEMARY,A,MCAULIFFE,F
HUNTR  039,HUNTER ROSS A,ROSS,A,HUNTER,M
GUINS  011,GUINN SANDRA L,SANDRA,L,GUINN,F
SIEGS  125,SIEGFRIEDT SARAJANE,SARAJANE,,SIEGFRIEDT,F
OQUIS  210,O'QUINN SHELLY J,SHELLY,J,O'QUINN,F
SCHLS  373,SCHLUMPF SHELLY L,SHELLY,L,SCHLUMPF,F
CROCS  105,CROCKER SHELLY L,SHELLY,L,CROCKER,F
MCCLS  104,MCCLOUD SHERYL G,SHERYL,G,MCCLOUD,F
MANTS  406,MANTHOU SPIRO,SPIRO,,MANTHOU,M
LITZS  040,LITZOW STEPHEN R,STEPHEN,R,LITZOW,M
HOUSS  840,HOUSTON STEVE P,STEVE,P,HOUSTON,M
STRAS  111,STRACHAN STEVEN D,STEVEN,D,STRACHAN,M
GONZS  104,GONZALEZ STEVEN C,STEVEN,C,GONZALEZ,M
SENGS  922,SENGER STEVEN E,STEVEN,E,SENGER,M
CANNS  133,CANN SYLVESTER,SYLVESTER,,CANN,M
JEFFT  485,JEFFREYS TERRI M,TERRI,M,JEFFREYS,F
HARDT  445,HARDER TERRY A,TERRY,A,HARDER,M
THOMT  368,THOMAS TIMOTHY N JR,TIMOTHY,N,THOMAS,M
FARRT  408,FARRELL TIMOTHY M,TIMOTHY,M,FARRELL,M
PROBT2 686,PROBST TIMOTHY P,TIMOTHY,P,PROBST,M
PROBT  686,PROBST TIMOTHY P,TIMOTHY,P,PROBST,M
EIDET  003,EIDE TRACEY J,TRACEY,J,EIDE,F
KELLT2 406,KELLEY TROY X,TROY,X,KELLEY,M
KELLT  406,KELLEY TROY X,TROY,X,KELLEY,M
BOWMW  102,BOWMAN WILLIAM A,WILLIAM,A,BOWMAN,M
